age, birthday,name
27,5/28/1965,Brian Christensen
65,2/7/2001,Elnora Greene
56,3/27/1977,Daniel Santiago
33,7/4/1967,Bill Hill
47,8/14/1960,Don Steele
46,10/6/1996,Rosa Webb
65,1/22/1984,Chester Holloway
65,7/17/2003,Lida Luna
20,9/9/2003,John Thompson
52,5/18/1985,Dorothy Frank
53,4/5/1971,Fannie Vargas
24,10/19/1960,Olivia Pittman
28,10/28/1967,Birdie Wade
64,4/12/1986,Curtis White
24,7/1/2004,Tyler Castro
43,7/24/1999,Arthur Hayes
46,10/13/1957,Phillip Washington
58,1/22/1986,Hannah Bowers
36,7/7/2001,Birdie Snyder
29,10/31/2001,Eugenia McCarthy
47,12/24/1998,Amelia Perkins
30,7/24/1989,Adam Webster
44,12/21/1988,Delia McDonald
50,7/10/1958,Max Paul
51,6/23/1970,Rhoda Bennett
54,2/8/1995,Randy Perez
43,12/14/1999,Lewis Smith
19,5/8/1973,Gavin Berry
59,8/10/1969,Violet Webb
32,3/1/1986,Gordon George
26,5/4/1971,Lilly Todd
56,5/28/1997,Logan Briggs
54,11/11/1982,Milton Harrington
19,12/31/1983,Agnes Pittman
56,1/22/1975,Angel Buchanan
21,7/17/1988,Eddie Stokes
24,9/30/1963,Irene Quinn
32,3/23/1967,Roger Jennings
64,1/21/2000,Elsie McLaughlin
62,1/11/1959,Ricardo Brown
51,12/31/1993,Jeanette Morrison
38,6/1/1987,Tony Graves
47,1/13/1973,Rachel Arnold
31,10/23/1973,Barry Pena
37,2/13/1979,William Bass
24,4/24/1986,Ora Ortega
65,9/10/1982,Isaiah Lucas
51,9/5/1975,Fanny Mathis
29,5/24/1997,Jonathan Maxwell
58,6/29/1957,Celia Mann
42,10/3/1991,Sophie Wise
39,1/28/1981,Tony Cruz
19,2/16/1967,Nora Blair
33,4/17/1966,Kyle Day
62,1/27/1958,Christina Parks
54,12/4/1992,Leon Ferguson
65,4/12/1974,Frances Myers
21,2/23/1990,Cora Austin
48,2/20/1979,Lela Chandler
60,7/21/1986,Katharine Oliver
44,5/12/1999,Sarah Murphy
29,7/8/1989,Verna Brock
32,2/6/1967,Chase Hall
44,10/14/1996,Mable Pittman
65,9/7/1977,Arthur Marsh
31,11/2/1973,Madge Obrien
48,8/30/2004,Daniel Cummings
55,6/10/1958,Eddie Dunn
22,11/4/1970,Jane Collins
59,3/19/1965,Claudia Andrews
39,1/13/1991,Adelaide Peters
38,4/16/1978,Jean Clarke
41,12/19/1959,Christian Nelson
48,7/12/1966,Anthony Morris
24,5/1/1984,Daniel Dunn
44,9/5/1963,Glen Wagner
50,1/28/2003,Lillian Hopkins
41,12/10/1957,Eva Morgan
23,1/21/1983,Flora Rhodes
21,5/25/1973,Derek Rice
43,11/26/1968,Edward Ramirez
18,5/17/1958,Ricky Bowen
28,3/8/1971,Alejandro Young
33,10/28/1964,Aaron Vasquez
29,6/2/1981,Hettie Ray
52,12/7/1970,Lloyd Wood
60,1/21/1987,Delia Bell
64,7/11/1988,Dale Bishop
18,4/17/2003,Chase Richards
44,1/31/2004,Maggie Curtis
53,6/25/1973,Dennis Tyler
61,8/16/1965,Floyd Farmer
39,6/23/1986,Sophie Lowe
30,2/6/2004,Sara Obrien
58,5/30/1984,Gussie Ellis
31,9/25/2001,Willie Parks
52,10/5/1960,Emily Buchanan
26,5/24/2001,Bruce Bradley
64,3/13/1997,Jorge Drake
64,2/11/1989,Hallie Ward
